709,Naznin khan,Bekar,2,0,14-02-2022 00:57,Tinder;;
710,Vishal Ray,Very bad experience,1,0,14-02-2022 00:56,Tinder;;
711,erik ulaki,Az a kedvemc részem a tinderen hogy a barátaim faszát is jobbra húzhatom nem csak a nőjüket,5,0,14-02-2022 00:54,Tinder;;
712,YORKSHIRE PIPER,Completely broken. Tinder never works anymore.,1,0,14-02-2022 00:53,Tinder;;
713,Louis Boylan,Good,5,0,14-02-2022 00:50,Tinder;;
714,Yaseen Sheik,The app takes to long to load and open,1,0,14-02-2022 00:38,Tinder;;
715,it's a ZAN thing,I like playing on it,5,0,14-02-2022 00:34,Tinder;;
"716,Hugo Larochelle,""Took money from my account before renewal. Cancelled subscription, still got charged and now i got nothing to show for it. Refund me."",1,0,14-02-2022 00:27,Tinder";;
717,Jessica Brown,Turnfhdiscuss,5,0,14-02-2022 00:24,Tinder;;
"718,Mitchell Barefield,""Enjoyed the free version, so bought the paid version and got banned within a week, for no reason. Never spoke inappropriately or did anything that violated their policies. Contacted support and they were no help at all. Do not buy the paid version. Waste of money."",1,0,14-02-2022 00:18,Tinder";;
"719,Rohan Yadav,""Really disappointing, I don't know how it works but sometimes it shows all of my matches but sometimes it doesn't show any matches"",1,0,14-02-2022 00:16,Tinder";;
720,naz electronics city konka,Excellent,5,0,14-02-2022 00:05,Tinder;;
721,2022 *,Awesome to make the new friends!,5,0,13-02-2022 23:59,Tinder;;
722,Luke Coyle,Apps terrible.,1,0,13-02-2022 23:58,Tinder;;
723,Gale Wurmb,Growing up I always wanted to be a ladies man and I have learned a lot socially with tinder. I am now passed the triple digits for amount of bodies I've slept with. If looking for the one for you or just some fun this app has that and everyone and everything inbetween 🎶,5,0,13-02-2022 23:57,Tinder;;
724,Thaduka Pradeep,Hi how are you,1,0,13-02-2022 23:55,Tinder;;
725,Drew Slade,This app is good if your willing to a lot of hours into it. From a guys perspective 90 percent of the girls on the app just want Instagram followers. So it takes a lot of time to find real people.,1,0,13-02-2022 23:54,Tinder;;
"726,stephanie ghartey,""Worst app ever After automatically deducting me, I requested for a refund the same day I was deducted from my wallet and up till now I've not received anything......😠😠 At first it was nice nd now they've turn into scammers.... its soo bad"",1,0,13-02-2022 23:52,Tinder";;
727,Amanda Tyler,Kept charging my card after deleted and uninstalled.,1,0,13-02-2022 23:52,Tinder;;
728,Christian Solano,App is terrible,1,0,13-02-2022 23:51,Tinder;;
729,Aadeel Saan,Very good site and very understandable,5,0,13-02-2022 23:42,Tinder;;
"730,Marcos M.,""The """"no more free Super Likes"""" proved to be a disappointment"",3,0,13-02-2022 23:39,Tinder";;
731,ritzz007 s,It's nice and easy to operate,5,0,13-02-2022 23:34,Tinder;;
"732,Brandon Stewart,""It's trash now. I can't see my matches, I can't see my messages, any time I tap on a notification it takes me to a blank page and never loads, I'm constantly getting churned through the same 50 people even though I've swiped no or yes on them 100 times."",2,0,13-02-2022 23:33,Tinder";;
733,Md. Selim Chowdhury,Nice,5,0,13-02-2022 23:27,Tinder;;
"734,Wayne Lowe,""So this app doesn't work at all unless u subscribe now? You can swipe but no matches and no messages, nothing?"",1,0,13-02-2022 23:25,Tinder";;
735,Amit T,It's pure garbage. Don't waste money here.,1,0,13-02-2022 23:08,Tinder;;
736,Rajarshi Dutta,Bad experiance,1,0,13-02-2022 22:58,Tinder;;
"737,Arman Nagmetzhan,""Nice platform to find people to chat, to make new friends, thanks a lot"",5,0,13-02-2022 22:57,Tinder";;
738,Estelle .P,Ils m'ont banni alors que je n'ai rien fait super merci,1,0,13-02-2022 22:53,Tinder;;
739,GAMING X VISHAL DEVIL,Best,5,0,13-02-2022 22:52,Tinder;;
740,Eugene B.,No luck meeting or matching with anyone. Full of micro transactions. You need to buy EVERYTHING. Making it VERY expensive. The value just isn't there. Full of fake profiles and bots.,1,0,13-02-2022 22:44,Tinder;;
741,Alexey,Registering accounts from Russia is broken,1,0,13-02-2022 22:41,Tinder;;
742,Matthew Fensome,If they cared at all about the matchmaking side of this app everything wouldn't be hidden behind a paywall.,1,0,13-02-2022 22:41,Tinder;;
743,Mr Beaston editz,Bhaiyo sabse bakwas ap h . Isse bakwas app Maine nhi dekha. Agar kisi ka profile dekho to subscription har baat mai subscription. Mere dost subscription liya or dekha to pata chala fake ID se aa rahe the baat karne aur Tinder bots (systematic) chats. Me to 0⭐ rating deta par option hi nhi hai. Bhaiyo install mat karna is bakwas app ko thank you.,1,0,13-02-2022 22:37,Tinder;;
"744,Ken Thomas,""2022 update. Shadey, some people shown are actually tinder scams, right swipe asks for credit card info. Super shadey!! awful application. quirky. nonintuitive. very poorly designed. Almost impossible to contact tinder for any support with issues. 100% do not recommend. Many fake people use this who will try to scam you, including the app developers"",1,1,13-02-2022 22:33,Tinder";;
745,Kay H.,I can add an anthem but it doesn't recognize I have Spotify to connect my to artists/songs,3,0,13-02-2022 22:28,Tinder;;
746,Mitchell Johnson,This is a scam. Women are not even in your state.,1,0,13-02-2022 22:28,Tinder;;
747,Lijo Vitalis,😋,5,0,13-02-2022 22:20,Tinder;;
748,Dhruv Pokale,It is the best dating app ever I have been using it since last 3 years and trust me guys it's not used for only hookups you can make Tons of new friends on tinder .... You won't believe my bestie who almost means world to me and we meet daily and have fun...we met on tinder ❤️,5,0,13-02-2022 22:17,Tinder;;
749,Joy Omohan,Wonderful,3,0,13-02-2022 22:14,Tinder;;
750,Ujala Chowdhry,Sexually aggressive platform. Not worth your time.,1,0,13-02-2022 22:09,Tinder;;
751,Sajjan Rajgaria,Provide match regular.... application is nice,3,0,13-02-2022 22:08,Tinder;;
752,Cosmic Hero,Really bad experience,1,0,13-02-2022 21:55,Tinder;;
753,Anna Siraj,i am single,5,0,13-02-2022 21:49,Tinder;;
754,Thabang Mpete,Perfect,5,0,13-02-2022 21:46,Tinder;;
755,Muhammad Aamir Javed,Everything is paid nothing is free if you want a dating site which is free I found is just Google (rishta jorhein) register create profile everything is free.On tinder if you are girl every match is blocked until you pay and if you are boy one girl will msg you and after 3 message your conversation will be disappeared,1,0,13-02-2022 21:44,Tinder;;
"756,Ben Rosenfeld,""Utter scam. The hidden likes pile up until you pay for it, then barely trickle in. If you unsubscribe, they'll pile up again to lure you back. Overwhelmingly full of fakes and nearly identical profiles which tinder has no incentive to remove because they rake in revenue off of sucker superlikes. No more coutesy superlikes on unpaid accounts."",1,82,13-02-2022 21:40,Tinder";;
"757,H Nikhil Pai,""Not useful. Well, may be cuz I'm not good at dating😂"",1,0,13-02-2022 21:40,Tinder";;
"758,Alex Prince,""Its not """"oops you missed a match"""" it should be """"oops we never match you with who you'd actually like"""""",1,0,13-02-2022 21:39,Tinder";;
759,Jay Rexx,Too many fake profiles... A waste of time,1,0,13-02-2022 21:36,Tinder;;
760,Megan D'Cordi,Using it for an hour and I'm banned... Never violated any rule and I only have a dog pic as my profile,1,0,13-02-2022 21:19,Tinder;;
"761,Pitambar Jha,""Used this app for years. Suddenly banned without any notification, warnings or amy information about why it was banned with no way appeal. I do change country. And if that is why it is banned, then I don't know what to say."",1,0,13-02-2022 21:19,Tinder";;
762,Brijesh R,Horrible experience,1,0,13-02-2022 21:14,Tinder;;
763,NGOZI JESSYCA,can not sign in,1,0,13-02-2022 21:11,Tinder;;
"764,Roshan Nair,""You Men from North America should go out and meet women instead of waste your time on this app, it's algorithm is already skewed and favours the 1% of men. Also if you don't have your money right, then why are you wasting your time on this app... smh go save & invest!"",1,0,13-02-2022 21:10,Tinder";;
"765,mohammed shoyeb,""There was an error, your message couldn't be sent. I've tried to contact you on your Instagram handle but you haven't replied there and even in comments I write down the issue but you act like a simp and reply to girls/women's comments but don't bother to checkout ours.. All the right swipes matches I get you keep them out of reach to even text or see their profile. Your app was good back then but now it just got third class with excorts filled up profile."",1,0,13-02-2022 21:04,Tinder";;
766,supra datta,Super like kothay gelo???,1,0,13-02-2022 20:59,Tinder;;
767,yash singh,Ek ladki nhi dila paya ye app.,1,0,13-02-2022 20:58,Tinder;;
768,Paulyn Rivera,Good,5,0,13-02-2022 20:58,Tinder;;
"769,Eleisha C,""100% not worth it and now they want you to pay to like people, don't waste your time."",1,0,13-02-2022 20:53,Tinder";;
"770,Kyle Houtby,""2.8 rating is higher than deserved. Garbage app. Don't spend a dime, you'll get banned for no reason."",1,0,13-02-2022 20:52,Tinder";;
"771,Vishesh Vijay,""Terrible App, no matches & nothing you get. The profile seems like active but doesn't looks like your likes go across to the profile one swipes right. Scammers!!"",1,0,13-02-2022 20:45,Tinder";;
"772,Carlos UMobile,""Dont waste your time, suddently and often all the matches and conversations get gones, nit ia nasty and on purpose"",1,0,13-02-2022 20:44,Tinder";;
773,Robert Watson,Rediculous pricing for what you get,1,0,13-02-2022 20:44,Tinder;;
774,Veipi Leeanne,I am trying to sign in its says allows photos done that .still not working Guys not serious here,3,0,13-02-2022 20:36,Tinder;;
775,agama mercy,Wonderful app with lot of lovely people,5,0,13-02-2022 20:18,Tinder;;
776,Rj Magno,The reason why it's only 3 stars is because it's not free. That's all😑😑,3,0,13-02-2022 20:09,Tinder;;
777,Vedant Jain,SO Many Fake Profiles... For free member there is no use of it even for getting matches you need To pay them.,1,0,13-02-2022 19:59,Tinder;;
778,David Rolando,Excellent 👍,5,0,13-02-2022 19:50,Tinder;;
"779,Mr White,""This app is just a bunch of females looking to catfish guys into buying their """"premium content"""". Waste of time."",1,0,13-02-2022 19:41,Tinder";;
780,A Google user,This used to be a great app but it's just not anymore. You don't have enough likes which makes the average user get much fewer matches. It seems like it used to be basically unlimited. You also only get one free super like ever which is dumb. This was a great idea and it's been ruined by greed.,1,0,13-02-2022 19:37,Tinder;;
781,arjun bakoliya,Useless,5,0,13-02-2022 19:34,Tinder;;
"782,Matthew shafer,""Everyone's to far no matter what. It's littered with disgusting escorts, and woman with no souls. If you want a real date then this is a terrible app"",1,0,13-02-2022 19:31,Tinder";;
"783,Aaron Tsen,""I found nice girl to talk here (in person). All those saying about 'not matching', maybe its because of your look or your bio is really bad? Fix it up instead of blaming the app."",5,0,13-02-2022 19:14,Tinder";;
784,my key d e e e e e,Easy to vet people and get a feel of whose sincere.,5,0,13-02-2022 19:07,Tinder;;
"785,M. Hart,""You can be banned for absolutely no reason, no nudity, no swearing even. Just banned. Not to mention the decent features require payment."",1,0,13-02-2022 18:56,Tinder";;
786,Chris Green,Probably great If you live within 500 miles of actual real living people 😂😂😂😂,2,0,13-02-2022 18:52,Tinder;;
"787,Taj Misquitta,""Let me make this clear. The app works as intended. However, everything is completely dependent upon you. The crowd on Tinder is extremely shallow in most cases (including myself). It favours good looking people and everybody else needs to pay for the exposure. Great app if you aren't looking for something that lasts. You can get matches so easily you'll be spoilt for choice. But they are all dead-ends."",5,0,13-02-2022 18:44,Tinder";;
788,Erik Sterling,Told me that they can't locate any matches for me to try global but it clearly shows that there was over 25 likes that I had. My concern is... How come I can't match with these women. They clearly want you to pay. The more like you have the more money they want to make off you. No free likes anymore,2,0,13-02-2022 18:38,Tinder;;
789,Md Sabbir,Very goo alss,2,0,13-02-2022 18:25,Tinder;;
790,Dorian Charlet,The algorithm is trash. Tinder is pushing you way to hard to get all the premiums features. Never buy them. Everyday connect the first one will not be a match but the second one always. So don't waste your time it's not made to match randomly its a business.,1,0,13-02-2022 18:02,Tinder;;
791,Faith Makinde,Nice,5,0,13-02-2022 17:52,Tinder;;
"792,Daniel,""Hard pass on this! The golden days of Tinder appear years gone. Re-download after a long break, got premium. Then, was banned within 24 hours of being back and Tinder refused to explain why. I checked the TOS and I'm certain I violated nothing. I 100% support protecting users and banning scammers, crazies, pervs etc., but this was arbitrary. If you check online this is happening to many other users, too. Used my own photos, verified my profile, no offensive content, only amicable convos."",1,0,13-02-2022 17:50,Tinder";;
"793,Peaches,""Glad they blocked me years back for breaching their rules. I went off for 3 years and came back, couldn't log in and sent them an email. Reply was, I broke their rules and was therefore blocked for a lifetime. Reading the reviews nowadays, I'm glad I don't have to waste my time with tinder anymore"",1,0,13-02-2022 17:45,Tinder";;
794,Gregory Branch,Different from other sites,4,0,13-02-2022 17:38,Tinder;;
795,Michael Sibisi,Bad,5,0,13-02-2022 16:41,Tinder;;
"796,Calliope Jackalope,""App keeps saying I live in another town, I can't change it without paying. I filed a report and was told it's because there are no people in my area, that still doesn't explain why my tinder location doesn't match my physical location"",1,0,13-02-2022 16:35,Tinder";;
797,mahlatse Lebese,Good,5,0,13-02-2022 16:33,Tinder;;
"798,Frederik de Stercke,""I've tried everything to cancel my account and cancel the payment. And yes I've tried going to settings also send a email....how do I get away from this money sucking app? Already 3 times this app """"stole"""" my money"",1,0,13-02-2022 16:24,Tinder";;
799,Will M,Tinder app is terrible I want a refund. Update works better 👍,4,1,13-02-2022 16:07,Tinder;;
800,May Thin,wow.,5,0,13-02-2022 16:03,Tinder;;
801,Matvey Kryukov,brawl stars is much better,1,0,13-02-2022 16:01,Tinder;;
802,Takshil Gajjar,Just don't buy any plan. It's totally waste of money and time.,1,0,13-02-2022 15:44,Tinder;;
803,Himanshu Singh,Worst app,1,0,13-02-2022 14:51,Tinder;;
804,Mohamed Abd alhamed,very good,5,0,13-02-2022 14:33,Tinder;;
805,Shaim Ansari,Ossm,5,0,13-02-2022 14:26,Tinder;;
806,Chigoville,Needs to be better,3,0,13-02-2022 14:08,Tinder;;
807,Rhys Jones,It says I have new matches but when I go onto the app they aren't showing,1,0,13-02-2022 14:01,Tinder;;
808,Collez Akpan,I have not been able to view pictures,3,0,13-02-2022 13:58,Tinder;;
809,Kody Nixon,Magic app. I can not go on there for days with zero matches and then when I decide to go on for the first time in weeks i suddenly have 4 likes! Its as if theres some magic algorithm designed to only show my profile when I lose any hope of getting matches so ill cave in and spend the extra $15 a month just to be able to see who like my pictures and ensure my profile is shown to everyone else. Definitely not a scummy system that plays with your feelings in order to get you to buy premium!!,1,0,13-02-2022 13:50,Tinder;;
810,Klay Hamish,Heaps of birds...,5,0,13-02-2022 13:48,Tinder;;
811,Lady Joury,حلو للتعارف,5,0,13-02-2022 13:41,Tinder;;
812,Michael,No option to delete the unnecessary chats 👎👎👎,4,0,13-02-2022 13:36,Tinder;;
"813,Kiahren Puran,""Please assist. Banking details were used on this app by someone else. Please help me cancel purchase and get a refund from this app , Tinder. Contact me ASAP"",1,0,13-02-2022 13:04,Tinder";;
814,Lesedi Mahlangu,Its 👌 try it ... u'll love it !,5,0,13-02-2022 12:38,Tinder;;
"815,H2Hues,""Well, they basically took my money from my account without giving me the gold tier... And then it's still not here, there's two times so it took two times the ammount, please help me with this."",1,0,13-02-2022 12:36,Tinder";;
816,Daniel Wallen,Great app but no longer needed.,5,0,13-02-2022 12:32,Tinder;;
817,Cynthia Joe,Nice app,4,0,13-02-2022 12:30,Tinder;;
818,Kyle A.,This app is massive and could do much better with increased advertising instead of scamming people with paywalls that don't even fix their problems and letting them uninstall. I don't know a single person who has a positive opinion about this app or bumble and it's soully because of the greediness.,1,0,13-02-2022 12:16,Tinder;;
"819,Valens Dias,""Money looting app, bought Tinder Gold sub and did not get any matches. Had to use boost and still had just 1 match. Clearly u spend high amount on boosts, etc apart from subscription to get a match. Very disappointing app even after getting a subscription. 😓"",1,0,13-02-2022 11:42,Tinder";;
820,Vby Yu,Is supercalifragilisticexpialidations,5,0,13-02-2022 11:39,Tinder;;
821,nana kwame,Very stupid app,1,0,13-02-2022 11:35,Tinder;;
822,Oreo Martinez,🗑 trash,1,0,13-02-2022 11:30,Tinder;;
"823,Kathy A.,""It's good for meeting new people. Verify that they are real before meeting them! Also, there is a Verify status with blue ✔️ to know. Meet several people who I chat with on a regular bases. You can find love, but don't be blind. INSTAGRAM and SNAPCHAT can fool you."",5,0,13-02-2022 11:28,Tinder";;
824,Proob Nss,Disgusting app,1,0,13-02-2022 11:24,Tinder;;
"825,Asm Foysal,""Akdom baje akta app..vai apnar kuno mayyar shathe kotha bolte hoile seta ora thik korbe... apnar issa onissar kisu nay. Jodi na apni,oder tk paid na koren.. 🤣😂"",1,0,13-02-2022 11:20,Tinder";;
"826,Mapula Tlhwaele,""Fantastic app, being able to verify myself is 100% brilliant!"",5,0,13-02-2022 11:16,Tinder";;
827,Lawrence Industries Gaming,$24.99 to freaking meet the person I want to be with forever... Stupid honestly,1,0,13-02-2022 11:12,Tinder;;
828,DJ T.I,Awesome,5,0,13-02-2022 11:12,Tinder;;
"829,Nord Mann,""I have started traveling and I thought I should start using my tinder account that's I haven't used in a while to meet new people so logged in to the account, immediately after I was logged in I was asked to take a photo and I did as it said on the screen. 20 minutes later my account that I've had since the beginning of Tinder has been banned. No warning, no notifications and no reason. ACCOUNT BANNED. For what exactly? There is no way of finding out"",1,0,13-02-2022 11:12,Tinder";;
830,Lokie Kidd,Waste of money,1,0,13-02-2022 10:42,Tinder;;
"831,Miller Time,""Like so many others said, app is a joke now full of fake accounts. Banned on bs for negative review"",1,0,13-02-2022 10:36,Tinder";;
832,joshua Hess,Like 👍,5,0,13-02-2022 10:31,Tinder;;
833,Shraderpops 77,They make it so hard to use it unless you're paying they stupid amounts of money,2,0,13-02-2022 10:24,Tinder;;
"834,Daniel,""At this point I think Tinder should be paying me in days of subscription for each credit card or Bitcoin scammer I report on their platform. And even then, when I report someone, the app shows me their profile over and over again."",1,1,13-02-2022 10:06,Tinder";;
835,Jamie Reeves,I was banned without reason and zero explanation. This is happening to many people I know. All terms conditions and guidelines were followed. 1 star for this reason only because I'm unable to leave zero. Thanks tinder!!,1,0,13-02-2022 10:02,Tinder;;
"836,José Antonio 1532,""It's literally an app where u have to expense a bunch of money just to able to say """" Hi """" to someone."",1,0,13-02-2022 09:58,Tinder";;
"837,Madison Conibear,""It's good for hookups, but there's a lot of crazies on here... could weed out the people by making it more complicated to set up a profile but I don't think that's what tinder is about... it is good though, not the app just the people"",4,0,13-02-2022 09:57,Tinder";;
"838,Andrea LaFave,""This app was an absolute waste of time... Not only do you try to get money out of people right off the bat, but the people it lined up for """"same interests"""" was way off... I had the app for less than 24 hours, and was somehow banned for nothing!"",1,0,13-02-2022 09:51,Tinder";;
839,Samuel Cully,Want your self esteem to take a massive hit? Try tinder.,1,0,13-02-2022 09:50,Tinder;;
"840,Mitchell Fisher,""-Cant view more than 4 insta photos. -Bios get cut off if theyre too long. -Cant play Spotify teaser. -Cant view photos individually, most photos have the persons info blocking the bottom half. Its like the app is going backwards. Was much better years ago."",2,0,13-02-2022 09:23,Tinder";;
841,Marc Ave,Wasted time,1,5,13-02-2022 09:03,Tinder;;
"842,Jonathan Hudgins,""If you like paying an app to talk to cam girls who want you to pay to talk to them, this is your app! If you on the other hand would rather spend no money and waste time, avoid at all costs."",1,0,13-02-2022 08:48,Tinder";;
"843,Bryan Smith,""After my last comment about your secret admirer, screw your app. I'm deleting it for good. I'm way too mad. Y'all forced me to miss out on my country gal. Screw yall"",1,0,13-02-2022 08:47,Tinder";;
844,Dalibor Logov,Do you have to pay for the tinder app,5,0,13-02-2022 08:46,Tinder;;
845,Jordan Miller,👍,5,0,13-02-2022 08:37,Tinder;;
846,Mark Mills,i am still a virgin,1,0,13-02-2022 08:31,Tinder;;
847,Dien Bui,good,5,0,13-02-2022 08:26,Tinder;;
848,Tara Brown,Can y'all better the app soon it's boring,1,0,13-02-2022 08:24,Tinder;;
849,Greg Hunt,To many scammers on here.lot of them with false information.,4,0,13-02-2022 08:21,Tinder;;
850,Roland Mann,Bing bango bongo.,5,0,13-02-2022 07:58,Tinder;;
851,Miguel Gabriel,Doesnt allow to deselect spotify artists,1,0,13-02-2022 07:52,Tinder;;
852,LastName FirstName,Expensive and bad.,1,0,13-02-2022 07:42,Tinder;;
853,B K,99.9% all white,1,0,13-02-2022 07:34,Tinder;;
854,Ben Collins,Rarely get matches and even rarer to get a conversation going with them. Makes you bloody depressed and you feel degraded for having to display yourself like a piece of meat.,1,0,13-02-2022 07:32,Tinder;;
855,Aaron Canty,Google keeps deleting my review. Tinder charged me for a subscription renewal then banned me the same morning for no reason. Don't use this app. It's ran by thieves.,1,0,13-02-2022 07:31,Tinder;;
856,Shirmane Francis,I just woke up the morning after I joined to a notification that my account has been banned. For what only God knows.,1,0,13-02-2022 07:31,Tinder;;
857,Dacotah Starr,when in the hell did u have to pay to get messages.,1,0,13-02-2022 07:29,Tinder;;
"858,RKO Fitness,""IT WONT LET ME DELETE MY ACCOUNT! KEEPS SAYING """"FAILED TO DELETE ACCOUNT"""" I KEEP SEEING THE SAME PEOPLE I HAVE SWIPED RIGHT."",1,0,13-02-2022 07:26,Tinder";;
859,Donna Barnswell,I am unable to create an account,1,0,13-02-2022 07:21,Tinder;;
"860,RRG JC,""It's a dating app so matchs are actually a thing, if you get ghosted it's cause you look good sound boring and the occasional snap premium or OF deals. Other then at I've not been as lucky as my peers it's a solid app you do meet real ppl and ain't that bad most of the time I don't gotta use spotlight so 🤷 be you as corny as that is."",3,0,13-02-2022 07:13,Tinder";;
861,Elyjah Johnson,You have to pay for everything.,1,0,13-02-2022 07:07,Tinder;;
862,Connor OBrien,overall easy to use .. seems like a lot of fake accounts tho..,1,1,13-02-2022 07:03,Tinder;;
863,theovertaker40,One month Tinder plus for me: $16.99. What does your algorithm decide you are worth?,1,2,13-02-2022 07:02,Tinder;;
864,Bull Null,Mocoro,5,0,13-02-2022 06:58,Tinder;;
"865,Sergey Bakaev,""My account which I used for many years due to a traveling lifestyle is banned and I can't even get the reason. I wasn't active in that period (no new messages or matches) as I wasn't swiping due to lack of time for 2-3 weeks.I read the rules and didn't find anything I would be able to violate, it's also really weird as I was an active user the last years and never had any issues. The support team do not answer as I asked to check if my account is banned by a mistake. Check it again please!"",2,0,13-02-2022 06:58,Tinder";;
866,Jaafar Al haj hassan,Googd,1,0,13-02-2022 06:58,Tinder;;
867,Pardhasaradhi N,Until taking premium it's asking for money. After taking premium it's asking for platinum. After taking platinum it says there's no people around you. It's a scam,1,0,13-02-2022 06:50,Tinder;;
"868,Austin F,""Love the whole """"hide people who swiped on you when you have swipes"""" feature. You can see who's swiped right via blurry pics and it'll have them on the top of the stack. As soon as you get swipes back, it hides them. Then repeat. Hate this app."",1,0,13-02-2022 06:50,Tinder";;
869,Daniel Barroso Tobon,No creo que Sean reales las personas. No he recivido mensages ni nada de nada.,1,0,13-02-2022 06:46,Tinder;;
870,S S,Tinder only cares about money.,1,0,13-02-2022 06:39,Tinder;;
"871,Hassan salifu,""The subscription method should be many,they should be direct bank transfer,not everybody that understand the means of subscription you are operating right now"",2,0,13-02-2022 06:37,Tinder";;
"872,James,""Full of scams and fake accounts, avoid this app"",1,0,13-02-2022 06:35,Tinder";;
"873,_,""Fake accounts, no real way to filter, there are about 4 different """"upgrades"""" for your account, so changing your location requires one buying one, seeing who liked you would then require buying a second """"upgrade"""" and threwe have no set price, tinder charges you an amount based on your location, age and ethnicity and the price gouging is disgusting, £30 per month the bottom tier """"upgrade"""" whose only feature is to see who liked you. It's nothing short of fraud to be honest"",1,54,13-02-2022 06:28,Tinder";;
874,solomon setigah,Nice,5,0,13-02-2022 06:28,Tinder;;
875,Patriae Socialās cattus,Your age preference is insult or a joke Because it only works for one or two swipe! You guys just want to see the world burn or what ?,1,0,13-02-2022 06:07,Tinder;;
876,Cyrus Sneh,Am good,3,0,13-02-2022 05:55,Tinder;;
877,jonathan jefferson,I was banned and have no idea why? Support won't respond.,1,0,13-02-2022 05:52,Tinder;;
878,Nageshwar Singh,F king app,1,0,13-02-2022 05:43,Tinder;;
879,Monday Charles,Great,5,0,13-02-2022 05:40,Tinder;;
880,Brad Greyeyes,Tried it out ...can't do anything but look unless you pay a $40 subscription ...crooks,1,0,13-02-2022 05:30,Tinder;;
881,Ahmed Dan,Perfectly perfect,5,0,13-02-2022 05:17,Tinder;;
"882,Mary Morozov,""I woke up this morning and had to log in, verify I was human 3 times, then a message came up saying I was banned due to violating standards. I havent done anything inappropriate. I actually filled in my profile description last night, that's it, and I wasn't inappropriate there. I've only had one person in 2 weeks respond to my messages and he was rude so I unmatched him. I've paid for a subscription. Just don't bother, this app is worse than the others."",1,0,13-02-2022 05:11,Tinder";;
883,Mazin Kindawy,It's not working always say something went wrong,1,0,13-02-2022 05:04,Tinder;;
884,Oslaam,Having sms verification issue,1,0,13-02-2022 05:01,Tinder;;
885,Abraham Muñoz,Good morning,5,0,13-02-2022 04:46,Tinder;;
886,Andrew Brayn,Very comfortable,5,0,13-02-2022 04:43,Tinder;;
887,Tony Hoff,Tricks you into swiping left or tapping pass on someone by giving you a bunch of people it knows you don't want.,1,0,13-02-2022 04:40,Tinder;;
"888,Lucas Stratton,""Banned for no reason. When asked for explanation, told I was not entitled to a reason. Had app for years, never a problem until recently. Now I never get to use again, probably for the best!"",1,0,13-02-2022 03:56,Tinder";;
889,NAYAN KALITA,useless,1,0,13-02-2022 03:54,Tinder;;
890,mido khaled,Very bad,1,0,13-02-2022 03:50,Tinder;;
891,Cory Pennington,Basically this is a dating site with full scammer and scam company 😒 they will violation your right for no reason basically got banned there's no way getting back on. Worst App Community 😑,1,0,13-02-2022 03:35,Tinder;;
892,Ryan Vickers,💩,1,0,13-02-2022 03:34,Tinder;;
893,Team Ohema,I downloaded tinder TODAY!! First I struggled to sign up due to technical issues and now after I verified that I am human 3 times (I pick the right images) my account has been suspended? I am soo confused 😕 very disappointed,1,0,13-02-2022 03:19,Tinder;;
894,Preeti Netalkar,Nice,5,0,13-02-2022 03:08,Tinder;;
895,Joseph Garcia,Good,5,0,13-02-2022 02:56,Tinder;;
896,Fosuah Janny,It's good app to meet legit or real person but 70% of members are into hoookup nude pictures and not date or long term relationship.,4,0,13-02-2022 02:39,Tinder;;
897,03 Anamitra Bhattacharyya,Idk why i am banned can anyone help me to fix it,1,0,13-02-2022 02:38,Tinder;;
898,Pandith Sleet,No matches at all,1,0,13-02-2022 02:28,Tinder;;
"899,Theo Winchester,""Love to see all the negative reviews in here haha. Got banned like a year ago for seemingly no reason, my guess was it was coz i'm trans, but tinder dgaf, and it seems like I'm not the only one. was told someone from the """"Trust & Safety Team"""" would contact me but I'd be surprised if that team even existed coz i never heard from them."",1,0,13-02-2022 02:27,Tinder";;
900,ICY,Never used the app cause it would never send me a code too my old number. but I'm banned when my new number sends a code?? What? Huh?? cool logic,1,0,13-02-2022 02:14,Tinder;;
901,The Amazing Mr Suit,It's just spam profiles and advertising now.,1,0,13-02-2022 02:13,Tinder;;
902,FuXiT445,There service sucks there's no support to help you if you need it I would give 0 stars if I could,1,0,13-02-2022 02:09,Tinder;;
903,Saif Khosa,good app,5,0,13-02-2022 02:06,Tinder;;
904,Hatim Hatta,I don't understand why my platinum account get banned.,1,0,13-02-2022 02:03,Tinder;;
905,Felipe Hernán Balcaza,The notifications you get are fake for you to open the app,1,0,13-02-2022 02:00,Tinder;;
906,Takunda Manhera,Helping,5,0,13-02-2022 01:59,Tinder;;
"907,Carlos,""I have had the app for two days, swiped on every possible person in my area, and dont have a single match... im not ugly i have a ton of pics and bio y am i not matching with a single soul."",1,0,13-02-2022 01:53,Tinder";;
908,Fresh Paint SaK,Still the same issue,1,1,13-02-2022 01:50,Tinder;;
909,Nilanjan Konar,💖,4,0,13-02-2022 01:48,Tinder;;
"910,Love. & Life Coach,""Horrible app , it is impossible to find anything but bots and even when you pay it crashes and does not show anyone near by Do not use , do not pay"",1,0,13-02-2022 01:30,Tinder";;
"911,Hugh Gooden,""Be careful with scammers , don't give your personal information, send money or bank account to anyone"",2,0,13-02-2022 01:29,Tinder";;
"912,Inglês Lingus,""Money hungry app! The algorithm was set for you to buy the extra services they offer you... very good business model! (For them, of course)."",3,0,13-02-2022 01:24,Tinder";;
913,Rishav Ghosh,Worst app,1,0,13-02-2022 01:07,Tinder;;
